timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681275347708,440,1. /get_method,200,OK,HW_1 1-1,text,true,,168,150,3,3,http://162.55.220.72:5005/get_method?name=John&age=27,440,0,219
1681275347924,411,1. /get_method,200,OK,HW_1 1-2,text,true,,168,150,4,4,http://162.55.220.72:5005/get_method?name=John&age=27,410,0,206
1681275348161,440,2. /user_info_2,200,OK,HW_1 1-1,text,true,,470,780,5,5,http://162.55.220.72:5005/user_info_2,440,0,218
1681275348323,415,1. /get_method,200,OK,HW_1 1-4,text,true,,168,150,6,6,http://162.55.220.72:5005/get_method?name=John&age=27,414,0,207
1681275348337,439,2. /user_info_2,200,OK,HW_1 1-2,text,true,,470,795,6,6,http://162.55.220.72:5005/user_info_2,439,0,217
1681275348524,397,1. /get_method,200,OK,HW_1 1-5,text,true,,168,150,7,7,http://162.55.220.72:5005/get_method?name=John&age=27,397,0,199
1681275348602,430,3. /user_info_3,200,OK,HW_1 1-1,text,true,,371,795,7,7,http://162.55.220.72:5005/user_info_3,430,0,210
1681275348739,441,2. /user_info_2,200,OK,HW_1 1-4,text,true,,470,800,8,8,http://162.55.220.72:5005/user_info_2,440,0,217
1681275348723,459,1. /get_method,200,OK,HW_1 1-6,text,true,,168,150,8,8,http://162.55.220.72:5005/get_method?name=John&age=27,459,0,229
1681275348779,412,3. /user_info_3,200,OK,HW_1 1-2,text,true,,371,780,8,8,http://162.55.220.72:5005/user_info_3,412,0,205
1681275348922,439,1. /get_method,200,OK,HW_1 1-7,text,true,,168,150,9,9,http://162.55.220.72:5005/get_method?name=John&age=27,439,0,216
1681275348922,454,2. /user_info_2,200,OK,HW_1 1-5,text,true,,470,780,9,9,http://162.55.220.72:5005/user_info_2,454,0,224
1681275349033,423,4. /object_info_1,200,OK,HW_1 1-1,text,true,,229,163,9,9,http://162.55.220.72:5005/object_info_1?name=John&age=27&weight=80,422,0,210
